origin_x,origin_y,destination_x,destination_y
655564.0717477156,6853883.417258446,651341.9215171975,6862921.032850241
654551.1859610297,6854285.309968522,651075.5223708138,6863220.792016681
655505.3629556869,6854585.54663038,652250.1955938824,6862719.181900913
655119.7108580519,6854910.765926902,651501.8317987919,6862926.090411142
655533.446947599,6855390.30772983,651626.8684871072,6862410.522656548
655120.9473972119,6853642.494791305,651882.5017477648,6862876.56587122
656169.7634295102,6853728.068961939,651057.4650212987,6862963.489076601
657086.2033723777,6854697.6378563065,651226.9737401631,6862580.150748647
656460.6448430311,6853190.787427921,651074.0754021218,6862346.031165623
654980.1039666383,6854176.989450932,651394.7675030057,6862309.881719195
656018.2419573516,6853187.588632341,650407.5033201075,6862920.946773476
656333.9271013997,6854850.4585488215,650555.8543620723,6863120.736069932
656267.7480945489,6853536.594715107,651652.5517798301,6862597.68649312
656455.3593588385,6853364.939830104,651859.2657667842,6862672.823339226
654249.9155519946,6855586.77704658,650732.2470786512,6863424.734413969
655422.999707388,6853514.682670626,651726.9585328633,6862844.025347034
656299.4518439823,6856242.143690644,650583.0033631573,6863234.725795772
656433.3590087213,6855917.873161977,651217.9947985166,6862909.831070679
655552.513569078,6853797.859244816,650275.016289365,6862885.287227794
653884.3418528038,6855420.65858357,651732.9764867024,6862998.221532934
654685.1221495848,6854215.050073829,651715.49895006,6862987.723849502
654324.5471913543,6853037.611825227,650716.3728704032,6862706.235490405
655973.722026263,6852876.999982967,651363.2399379625,6862577.612327749
654754.680515452,6855435.530826239,650434.4640564892,6862989.743885123
656277.221001801,6853647.883923074,650391.6706212852,6862681.209658643
654707.8864530808,6855098.854647624,652056.5267850698,6862460.429883495
655874.3931598174,6853274.229259289,652228.4421658291,6862843.376169746
656201.6384620757,6852838.860172369,651977.0557819622,6861904.057062628
656206.6681187602,6853785.330178269,650955.2295745163,6862384.086836774
655729.4113749972,6854602.449255379,651819.4876211927,6862217.391219198
655496.9716019073,6855026.866922773,651499.2976591844,6862462.527058328
654548.8727380397,6853142.515948182,652202.1023576882,6862659.783769498
654467.418483292,6855286.393686249,651794.4694208265,6862155.347585096
656584.7946943066,6855427.291537673,650730.1467946941,6862571.036048299
654610.4386624473,6853088.544545867,651509.8457101225,6862736.214332798
654621.0248085741,6853339.793457392,651717.3677740877,6862540.375456153
655170.870633536,6854108.356633811,651883.8593567731,6862618.820185418
656114.9152201199,6854069.396801456,651791.9042050537,6862194.480875194
654240.8335278732,6854906.616858611,651291.7406420506,6862703.84957548
656364.7695917796,6853131.399928528,650801.2105382245,6863087.279000199
654085.3026349823,6856089.352065945,652032.9701318901,6862169.502299645
657052.8680755718,6854815.0141930245,650584.251834523,6863412.578685399
